"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(919) 448-","Landline","Orange","Chapel Hill","NC","North Carolina","27599","Eastern","36.05251","-79.107692"
"(828) 689-","Landline","Madison","Mars Hill","NC","North Carolina","28754","Eastern","35.879456","-82.516228"
"(704) 638-","Landline","Rowan","Salisbury","NC","North Carolina","28147","Eastern","35.681714","-80.561516"
"(910) 355-","Landline","Onslow","Jacksonville","NC","North Carolina","28546","Eastern","34.720825","-77.444847"
"(919) 371-","Landline","Wake","Cary","NC","North Carolina","27518","Eastern","35.797692","-78.625265"
"(919) 829-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 971-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(704) 859-","Landline","Rowan","China Grove","NC","North Carolina","28023","Eastern","35.571468","-80.596523"
"(704) 956-","Cell Number","Rowan","Concord","NC","North Carolina","28027","Eastern","35.410688","-80.658405"
"(828) 275-","Cell Number","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(704) 685-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(828) 684-","Landline","Buncombe","Arden","NC","North Carolina","28704","Eastern","35.589686","-82.541808"
"(252) 532-","Cell Number","Halifax","Roanoke Rapids","NC","North Carolina","27870","Eastern","36.303962","-77.641063"
"(919) 273-","Cell Number","Wayne","Goldsboro","NC","North Carolina","27533","Eastern","35.372045","-78.052422"
"(910) 227-","Landline","Robeson","Red Springs","NC","North Carolina","28377","Eastern","34.700472","-79.113936"
"(336) 805-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(919) 321-","Landline","Durham","Durham","NC","North Carolina","27722","Eastern","36.051155","-78.857651"
"(919) 962-","Landline","Orange","Chapel Hill","NC","North Carolina","27599","Eastern","36.05251","-79.107692"
"(704) 353-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 586-","Landline","Wake","Fuquay Varina","NC","North Carolina","27526","Eastern","35.758691","-78.646886"
"(910) 276-","Landline","Scotland","Laurinburg","NC","North Carolina","28352","Eastern","34.796929","-79.475606"
"(336) 506-","Landline","Alamance","Burlington","NC","North Carolina","27216","Eastern","36.047523","-79.479743"
"(252) 472-","Landline","Dare","Kill Devil Hills","NC","North Carolina","27948","Eastern","35.772912","-75.634892"
"(336) 735-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(704) 218-","Cell Number","Union","Monroe","NC","North Carolina","28112","Eastern","34.901591","-80.527201"
"(910) 399-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(336) 821-","Landline","Guilford","High Point","NC","North Carolina","27260","Eastern","35.993538","-79.988711"
"(919) 892-","Unknown","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(828) 528-","Landline","Avery","Newland","NC","North Carolina","28657","Eastern","36.059029","-81.930337"
"(336) 392-","Cell Number","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(910) 588-","Landline","Sampson","Garland","NC","North Carolina","28441","Eastern","34.822898","-78.323226"
"(919) 989-","Landline","Johnston","Smithfield","NC","North Carolina","27577","Eastern","35.536543","-78.336001"
"(336) 777-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(336) 567-","Landline","Alamance","Burlington","NC","North Carolina","27216","Eastern","36.047523","-79.479743"
"(910) 772-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(704) 835-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(704) 565-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 226-","Cell Number","Jackson","Sylva","NC","North Carolina","28779","Eastern","35.275674","-83.187963"
"(336) 449-","Landline","Guilford","Gibsonville","NC","North Carolina","27249","Eastern","36.150393","-79.610426"
"(252) 541-","Landline","Halifax","Roanoke Rapids","NC","North Carolina","27870","Eastern","36.303962","-77.641063"
"(704) 570-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 279-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(252) 388-","Landline","Halifax","Enfield","NC","North Carolina","27823","Eastern","36.279884","-77.723443"
"(910) 365-","Landline","Moore","Southern Pines","NC","North Carolina","28387","Eastern","35.218064","-79.394988"
"(336) 236-","Landline","Davidson","Lexington","NC","North Carolina","27295","Eastern","35.813292","-80.277877"
"(828) 495-","Landline","Catawba","Hickory","NC","North Carolina","28602","Eastern","35.661511","-81.269348"
"(828) 239-","Landline","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(919) 343-","Cell Number","Harnett","Cameron","NC","North Carolina","28326","Eastern","35.310584","-79.347244"
"(919) 306-","Cell Number","Wake","Morrisville","NC","North Carolina","27560","Eastern","35.852458","-78.843526"
"(336) 891-","Unknown","Rockingham","Ruffin","NC","North Carolina","27326","Eastern","36.461083","-79.597001"
"(704) 473-","Cell Number","Cleveland","Shelby","NC","North Carolina","28152","Eastern","35.329336","-81.580919"
"(828) 764-","Landline","Burke","Morganton","NC","North Carolina","28655","Eastern","35.772992","-81.676229"
"(336) 387-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(919) 533-","Landline","Chatham","Pittsboro","NC","North Carolina","27312","Eastern","35.745239","-79.213195"
"(336) 941-","Landline","Davie","Advance","NC","North Carolina","27006","Eastern","35.945381","-80.448686"
"(919) 696-","Cell Number","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 799-","Landline","Iredell","Mooresville","NC","North Carolina","28115","Eastern","35.688136","-80.819825"
"(919) 889-","Cell Number","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 419-","Cell Number","Cleveland","Shelby","NC","North Carolina","28152","Eastern","35.329336","-81.580919"
"(336) 978-","Cell Number","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(919) 200-","Cell Number","Chatham","Siler City","NC","North Carolina","27344","Eastern","35.711578","-79.333922"
"(919) 412-","Cell Number","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(336) 751-","Landline","Davie","Mocksville","NC","North Carolina","27028","Eastern","35.906241","-80.54609"
"(910) 681-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(919) 609-","Cell Number","Wake","Morrisville","NC","North Carolina","27560","Eastern","35.852458","-78.843526"
"(336) 475-","Landline","Davidson","Thomasville","NC","North Carolina","27360","Eastern","35.854539","-80.124764"
"(252) 672-","Landline","Craven","New Bern","NC","North Carolina","28561","Eastern","35.103736","-77.07585"
"(252) 593-","Landline","Halifax","Halifax","NC","North Carolina","27839","Eastern","36.33719","-77.629192"
"(704) 912-","Landline","Mecklenburg","Huntersville","NC","North Carolina","28070","Eastern","35.462187","-80.898668"
"(910) 373-","Cell Number","Scotland","Laurinburg","NC","North Carolina","28352","Eastern","34.796929","-79.475606"
"(336) 288-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(919) 486-","Landline","Durham","Durham","NC","North Carolina","27722","Eastern","36.051155","-78.857651"
"(919) 252-","Cell Number","Wayne","Goldsboro","NC","North Carolina","27533","Eastern","35.372045","-78.052422"
"(704) 386-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 225-","Landline","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(336) 993-","Landline","Forsyth","Kernersville","NC","North Carolina","27284","Eastern","36.118312","-80.101271"
"(919) 831-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(919) 242-","Landline","Wayne","Fremont","NC","North Carolina","27830","Eastern","35.469355","-77.979026"
"(910) 828-","Landline","Montgomery","Biscoe","NC","North Carolina","27209","Eastern","35.365836","-79.943839"
"(704) 632-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(910) 499-","Landline","Columbus","Whiteville","NC","North Carolina","28472","Eastern","34.262252","-78.625479"
"(828) 407-","Unknown","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(828) 471-","Landline","Alexander","Taylorsville","NC","North Carolina","28681","Eastern","35.916914","-81.209656"
"(252) 622-","Cell Number","Carteret","Morehead City","NC","North Carolina","28557","Eastern","34.727798","-76.770987"
"(336) 379-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(704) 515-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 933-","Cell Number","Lenoir","Kinston","NC","North Carolina","28501","Eastern","35.220079","-77.615508"
"(704) 745-","Landline","Lincoln","Lincolnton","NC","North Carolina","28092","Eastern","35.485145","-81.181799"
"(252) 415-","Unknown","Warren","Norlina","NC","North Carolina","27563","Eastern","36.449642","-78.185544"
"(919) 351-","Landline","Johnston","Selma","NC","North Carolina","27576","Eastern","35.563572","-78.244459"
"(336) 835-","Landline","Surry","Elkin","NC","North Carolina","28621","Eastern","36.318035","-80.799944"
"(704) 614-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(910) 288-","Landline","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(910) 456-","Landline","Onslow","Jacksonville","NC","North Carolina","28546","Eastern","34.720825","-77.444847"
"(919) 508-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(828) 292-","Cell Number","Caldwell","Lenoir","NC","North Carolina","28645","Eastern","35.947401","-81.560742"
"(910) 830-","Unknown","Columbus","Delco","NC","North Carolina","28436","Eastern","34.283839","-78.260664"
"(704) 562-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(336) 881-","Landline","Guilford","High Point","NC","North Carolina","27260","Eastern","35.993538","-79.988711"
"(704) 760-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 772-","Landline","Craven","New Bern","NC","North Carolina","28561","Eastern","35.103736","-77.07585"
"(252) 398-","Landline","Hertford","Murfreesboro","NC","North Carolina","27855","Eastern","36.449543","-77.052051"
"(336) 306-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(910) 287-","Landline","Brunswick","Longwood","NC","North Carolina","28452","Eastern","33.997292","-78.554121"
"(910) 768-","Landline","Duplin","Wallace","NC","North Carolina","28466","Eastern","34.76743","-77.940027"
"(910) 648-","Landline","Bladen","Bladenboro","NC","North Carolina","28320","Eastern","34.621027","-78.725506"
"(704) 369-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(336) 385-","Landline","Ashe","Creston","NC","North Carolina","28615","Eastern","36.464673","-81.596886"
"(252) 202-","Cell Number","Currituck","Coinjock","NC","North Carolina","27923","Eastern","36.383368","-75.954658"
"(910) 239-","Landline","New Hanover","Wrightsville Beach","NC","North Carolina","28480","Eastern","34.214489","-77.859467"
"(252) 614-","Landline","Hertford","Ahoskie","NC","North Carolina","27910","Eastern","36.339311","-76.990498"
"(910) 568-","Unknown","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(919) 320-","Landline","Johnston","Clayton","NC","North Carolina","27520","Eastern","35.633257","-78.435416"
"(336) 459-","Landline","Caswell","Yanceyville","NC","North Carolina","27379","Eastern","36.379479","-79.366733"
"(919) 258-","Landline","Lee","Broadway","NC","North Carolina","27505","Eastern","35.471966","-79.058238"
"(704) 561-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 676-","Cell Number","Buncombe","Arden","NC","North Carolina","28704","Eastern","35.589686","-82.541808"
"(336) 595-","Landline","Forsyth","Walkertown","NC","North Carolina","27051","Eastern","36.191405","-80.16357"
"(704) 679-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(704) 672-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 383-","Cell Number","Pitt","Greenville","NC","North Carolina","27858","Eastern","35.616949","-77.402789"
"(704) 367-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(910) 839-","Unknown","New Hanover","Wrightsville Beach","NC","North Carolina","28480","Eastern","34.214489","-77.859467"
"(919) 917-","Unknown","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(919) 850-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 405-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 551-","Landline","Wake","Zebulon","NC","North Carolina","27597","Eastern","35.87922","-78.355582"
"(919) 451-","Cell Number","Wake","Morrisville","NC","North Carolina","27560","Eastern","35.852458","-78.843526"
"(336) 756-","Unknown","Surry","Mount Airy","NC","North Carolina","27031","Eastern","36.399366","-80.70809"
"(252) 418-","Unknown","Carteret","Marshallberg","NC","North Carolina","28553","Eastern","34.873922","-76.587097"
"(910) 341-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(828) 687-","Landline","Buncombe","Arden","NC","North Carolina","28704","Eastern","35.589686","-82.541808"
"(828) 952-","Cell Number","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(910) 401-","Landline","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(704) 390-","Unknown","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(910) 440-","Unknown","Onslow","Jacksonville","NC","North Carolina","28546","Eastern","34.720825","-77.444847"
"(336) 793-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(336) 327-","Cell Number","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(910) 398-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(919) 579-","Cell Number","Durham","Durham","NC","North Carolina","27722","Eastern","36.051155","-78.857651"
"(704) 783-","Landline","Cabarrus","Concord","NC","North Carolina","28027","Eastern","35.410688","-80.658405"
"(910) 766-","Landline","Duplin","Kenansville","NC","North Carolina","28349","Eastern","35.015157","-77.896863"
"(919) 635-","Landline","Wayne","Mount Olive","NC","North Carolina","28365","Eastern","35.229061","-78.09006"
"(252) 466-","Landline","Craven","Havelock","NC","North Carolina","28532","Eastern","35.028677","-77.053443"
"(336) 303-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(704) 309-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 357-","Landline","Gates","Gatesville","NC","North Carolina","27938","Eastern","36.422539","-76.714802"
"(336) 995-","Cell Number","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(252) 294-","Landline","Wilson","Wilson","NC","North Carolina","27896","Eastern","35.771467","-77.973007"
"(336) 352-","Landline","Surry","Lowgap","NC","North Carolina","27024","Eastern","36.490434","-80.823878"
"(336) 874-","Landline","Surry","State Road","NC","North Carolina","28676","Eastern","36.336635","-80.852275"
"(704) 517-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 582-","Cell Number","Buncombe","Arden","NC","North Carolina","28704","Eastern","35.589686","-82.541808"
"(919) 835-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(910) 205-","Landline","Richmond","Hamlet","NC","North Carolina","28345","Eastern","34.937085","-79.649111"
"(704) 278-","Landline","Rowan","Cleveland","NC","North Carolina","27013","Eastern","35.755719","-80.681056"
"(704) 454-","Landline","Cabarrus","Harrisburg","NC","North Carolina","28075","Eastern","35.353672","-80.672368"
"(910) 376-","Cell Number","Onslow","Jacksonville","NC","North Carolina","28546","Eastern","34.720825","-77.444847"
"(704) 400-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(704) 853-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(828) 855-","Unknown","Catawba","Hickory","NC","North Carolina","28602","Eastern","35.661511","-81.269348"
"(704) 840-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 575-","Landline","Wilson","Wilson","NC","North Carolina","27896","Eastern","35.771467","-77.973007"
"(336) 723-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(336) 827-","Unknown","Surry","State Road","NC","North Carolina","28676","Eastern","36.336635","-80.852275"
"(919) 414-","Cell Number","Wake","Morrisville","NC","North Carolina","27560","Eastern","35.852458","-78.843526"
"(910) 282-","Landline","Duplin","Rose Hill","NC","North Carolina","28458","Eastern","34.829225","-78.022982"
"(910) 584-","Cell Number","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(252) 601-","Landline","Martin","Williamston","NC","North Carolina","27892","Eastern","35.821205","-77.102193"
"(910) 309-","Cell Number","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(919) 453-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 681-","Landline","Union","Monroe","NC","North Carolina","28112","Eastern","34.901591","-80.527201"
"(252) 303-","Unknown","Nash","Spring Hope","NC","North Carolina","27882","Eastern","35.94476","-78.093002"
"(919) 480-","Unknown","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(919) 816-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 869-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(910) 212-","Landline","Columbus","Whiteville","NC","North Carolina","28472","Eastern","34.262252","-78.625479"
"(336) 776-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(336) 527-","Landline","Surry","Elkin","NC","North Carolina","28621","Eastern","36.318035","-80.799944"
"(919) 746-","Unknown","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(704) 898-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(704) 751-","Landline","Cleveland","Shelby","NC","North Carolina","28152","Eastern","35.329336","-81.580919"
"(910) 533-","Landline","Sampson","Turkey","NC","North Carolina","28393","Eastern","34.984688","-78.198087"
"(336) 688-","Cell Number","Guilford","High Point","NC","North Carolina","27260","Eastern","35.993538","-79.988711"
"(910) 426-","Landline","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(910) 220-","Cell Number","Montgomery","Troy","NC","North Carolina","27371","Eastern","35.393595","-79.907346"
"(919) 389-","Cell Number","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(828) 322-","Landline","Catawba","Hickory","NC","North Carolina","28602","Eastern","35.661511","-81.269348"
"(919) 255-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(252) 332-","Landline","Hertford","Ahoskie","NC","North Carolina","27910","Eastern","36.339311","-76.990498"
"(828) 745-","Landline","Jackson","Cashiers","NC","North Carolina","28717","Eastern","35.101156","-83.093769"
"(910) 266-","Landline","Scotland","Laurinburg","NC","North Carolina","28352","Eastern","34.796929","-79.475606"
"(919) 762-","Landline","Wake","Fuquay Varina","NC","North Carolina","27526","Eastern","35.758691","-78.646886"
"(704) 957-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(704) 852-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(336) 758-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(704) 284-","Cell Number","Cleveland","Shelby","NC","North Carolina","28152","Eastern","35.329336","-81.580919"
"(919) 302-","Cell Number","Wake","Morrisville","NC","North Carolina","27560","Eastern","35.852458","-78.843526"
"(704) 598-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 282-","Cell Number","Lenoir","Kinston","NC","North Carolina","28501","Eastern","35.220079","-77.615508"
"(704) 979-","Landline","Cabarrus","Harrisburg","NC","North Carolina","28075","Eastern","35.353672","-80.672368"
"(704) 496-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(910) 874-","Cell Number","Bladen","Elizabethtown","NC","North Carolina","28337","Eastern","34.660959","-78.621643"
"(919) 836-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(252) 623-","Cell Number","Beaufort","Washington","NC","North Carolina","27889","Eastern","35.519268","-76.8892"
"(704) 323-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 347-","Cell Number","Orange","Chapel Hill","NC","North Carolina","27599","Eastern","36.05251","-79.107692"
"(704) 772-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(704) 465-","Cell Number","Anson","Wadesboro","NC","North Carolina","28170","Eastern","34.924469","-80.05003"
"(252) 733-","Unknown","Craven","Havelock","NC","North Carolina","28532","Eastern","35.028677","-77.053443"
"(828) 215-","Cell Number","Buncombe","Arden","NC","North Carolina","28704","Eastern","35.589686","-82.541808"
"(828) 848-","Landline","Alexander","Taylorsville","NC","North Carolina","28681","Eastern","35.916914","-81.209656"
"(252) 650-","Landline","Wilson","Elm City","NC","North Carolina","27822","Eastern","35.787273","-77.856015"
"(828) 267-","Landline","Catawba","Hickory","NC","North Carolina","28602","Eastern","35.661511","-81.269348"
"(828) 542-","Unknown","Haywood","Maggie Valley","NC","North Carolina","28751","Eastern","35.527318","-83.036558"
"(828) 436-","Unknown","Rutherford","Lake Lure","NC","North Carolina","28746","Eastern","35.463527","-82.183853"
"(704) 705-","Unknown","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(336) 386-","Landline","Surry","Dobson","NC","North Carolina","27017","Eastern","36.357619","-80.697202"
"(910) 784-","Landline","New Hanover","Wilmington","NC","North Carolina","28404","Eastern","33.926255","-78.07127"
"(910) 248-","Landline","Hoke","Raeford","NC","North Carolina","28376","Eastern","34.953431","-79.233178"
"(704) 422-","Landline","Stanly","New London","NC","North Carolina","28127","Eastern","35.44125","-80.225068"
"(336) 672-","Landline","Randolph","Asheboro","NC","North Carolina","27204","Eastern","35.788286","-79.720556"
"(910) 390-","Unknown","Robeson","Maxton","NC","North Carolina","28364","Eastern","34.711437","-79.318072"
"(252) 674-","Landline","Wilson","Wilson","NC","North Carolina","27896","Eastern","35.771467","-77.973007"
"(336) 932-","Cell Number","Rockingham","Reidsville","NC","North Carolina","27323","Eastern","36.392135","-79.773094"
"(336) 458-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(704) 946-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 462-","Landline","Buncombe","Weaverville","NC","North Carolina","28787","Eastern","35.702704","-82.588915"
"(828) 232-","Landline","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(828) 382-","Landline","Rutherford","Forest City","NC","North Carolina","28043","Eastern","35.325025","-81.846013"
"(919) 858-","Landline","Wake","Raleigh","NC","North Carolina","27610","Eastern","35.7429","-78.564443"
"(910) 704-","Landline","Onslow","Jacksonville","NC","North Carolina","28546","Eastern","34.720825","-77.444847"
"(252) 705-","Unknown","Northampton","Jackson","NC","North Carolina","27845","Eastern","36.374826","-77.370513"
"(828) 224-","Cell Number","Rutherford","Forest City","NC","North Carolina","28043","Eastern","35.325025","-81.846013"
"(910) 372-","Cell Number","Duplin","Kenansville","NC","North Carolina","28349","Eastern","35.015157","-77.896863"
"(828) 244-","Cell Number","Catawba","Hickory","NC","North Carolina","28602","Eastern","35.661511","-81.269348"
"(704) 377-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 991-","Landline","Orange","Chapel Hill","NC","North Carolina","27599","Eastern","36.05251","-79.107692"
"(704) 580-","Cell Number","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(828) 572-","Unknown","Caldwell","Lenoir","NC","North Carolina","28645","Eastern","35.947401","-81.560742"
"(919) 415-","Landline","Wake","Cary","NC","North Carolina","27518","Eastern","35.797692","-78.625265"
"(704) 206-","Unknown","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(336) 767-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(336) 328-","Landline","Randolph","Asheboro","NC","North Carolina","27204","Eastern","35.788286","-79.720556"
"(704) 537-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(919) 506-","Cell Number","Durham","Durham","NC","North Carolina","27722","Eastern","36.051155","-78.857651"
"(910) 475-","Landline","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(704) 254-","Cell Number","Union","Monroe","NC","North Carolina","28112","Eastern","34.901591","-80.527201"
"(910) 323-","Landline","Cumberland","Fayetteville","NC","North Carolina","28314","Eastern","35.05425","-79.011328"
"(252) 542-","Cell Number","Hyde","Engelhard","NC","North Carolina","27824","Eastern","35.325223","-76.028472"
"(336) 245-","Landline","Forsyth","Winston Salem","NC","North Carolina","27109","Eastern","36.027482","-80.20728"
"(704) 344-","Landline","Mecklenburg","Charlotte","NC","North Carolina","28203","Eastern","35.208992","-80.856343"
"(252) 327-","Cell Number","Pitt","Greenville","NC","North Carolina","27858","Eastern","35.616949","-77.402789"
"(828) 625-","Landline","Rutherford","Lake Lure","NC","North Carolina","28746","Eastern","35.463527","-82.183853"
"(919) 473-","Landline","Wake","Cary","NC","North Carolina","27518","Eastern","35.797692","-78.625265"
"(336) 516-","Cell Number","Alamance","Burlington","NC","North Carolina","27216","Eastern","36.047523","-79.479743"
"(828) 348-","Landline","Buncombe","Asheville","NC","North Carolina","28806","Eastern","35.570357","-82.605913"
"(704) 836-","Landline","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
"(252) 943-","Landline","Beaufort","Belhaven","NC","North Carolina","27810","Eastern","35.445752","-76.639119"
"(336) 868-","Landline","Guilford","Greensboro","NC","North Carolina","27402","Eastern","36.106711","-79.791901"
"(910) 881-","Landline","Duplin","Rose Hill","NC","North Carolina","28458","Eastern","34.829225","-78.022982"
"(919) 974-","Landline","Durham","Durham","NC","North Carolina","27722","Eastern","36.051155","-78.857651"
"(704) 747-","Cell Number","Gaston","Gastonia","NC","North Carolina","28052","Eastern","35.267916","-81.178725"
